X_id,AREA_ID,DATE_EFFECTIVE,DATE_EXPIRY,AREA_ATTR_ID,AREA_TYPE_ID,PARENT_AREA_ID,AREA_TYPE,AREA_CLASS_ID,AREA_CLASS,AREA_SHORT_CODE,AREA_LONG_CODE,AREA_NAME,AREA_DESC,FEATURE_CODE,FEATURE_CODE_DESC,TRANS_ID_CREATE,TRANS_ID_EXPIRE,OBJECTID
1,2457740,,,25993196,528,0,CITW,0,,"07","07",Humber River-Black Creek,Humber River-Black Creek (7),0,,279754,-1,17344785
2,2457739,,,25993195,528,0,CITW,0,,"06","06",York Centre,York Centre (6),0,,279754,-1,17344801
3,2457738,,,25993194,528,0,CITW,0,,"18","18",Willowdale,Willowdale (18),0,,279754,-1,17344817
4,2457737,,,25993193,528,0,CITW,0,,"11","11",University-Rosedale,University-Rosedale (11),0,,279754,-1,17344833
5,2457736,,,25993192,528,0,CITW,0,,"19","19",Beaches-East York,Beaches-East York (19),0,,279754,-1,17344849
6,2457735,,,25993191,528,0,CITW,0,,"20","20",Scarborough Southwest,Scarborough Southwest (20),0,,279754,-1,17344865
7,2457734,,,25993190,528,0,CITW,0,,"25","25",Scarborough-Rouge Park,Scarborough-Rouge Park (25),0,,279754,-1,17344881
8,2457733,,,25993189,528,0,CITW,0,,"23","23",Scarborough North,Scarborough North (23),0,,279754,-1,17344897
9,2457732,,,25993188,528,0,CITW,0,,"24","24",Scarborough-Guildwood,Scarborough-Guildwood (24),0,,279754,-1,17344913
10,2457731,,,25993187,528,0,CITW,0,,"21","21",Scarborough Centre,Scarborough Centre (21),0,,279754,-1,17344929
11,2457730,,,25993186,528,0,CITW,0,,"22","22",Scarborough-Agincourt,Scarborough-Agincourt (22),0,,279754,-1,17344945
12,2457729,,,25993185,528,0,CITW,0,,"15","15",Don Valley West,Don Valley West (15),0,,279754,-1,17344961
13,2457728,,,25993184,528,0,CITW,0,,"12","12",Toronto-St. Paul's,Toronto-St. Paul's (12),0,,279754,-1,17344977
14,2457727,,,25993183,528,0,CITW,0,,"04","04",Parkdale-High Park,Parkdale-High Park (4),0,,279754,-1,17344993
15,2457726,,,25993182,528,0,CITW,0,,"01","01",Etobicoke North,Etobicoke North (1),0,,279754,-1,17345009
16,2457725,,,25993181,528,0,CITW,0,,"03","03",Etobicoke-Lakeshore,Etobicoke-Lakeshore (3),0,,279754,-1,17345025
17,2457724,,,25993180,528,0,CITW,0,,"02","02",Etobicoke Centre,Etobicoke Centre (2),0,,279754,-1,17345041
18,2457723,,,25993179,528,0,CITW,0,,"08","08",Eglinton-Lawrence,Eglinton-Lawrence (8),0,,279754,-1,17345057
19,2457722,,,25993178,528,0,CITW,0,,"17","17",Don Valley North,Don Valley North (17),0,,279754,-1,17345073
20,2457721,,,25993177,528,0,CITW,0,,"16","16",Don Valley East,Don Valley East (16),0,,279754,-1,17345089
21,2457720,,,25993176,528,0,CITW,0,,"09","09",Davenport,Davenport (9),0,,279754,-1,17345105
22,2457719,,,25993175,528,0,CITW,0,,"13","13",Toronto Centre,Toronto Centre (13),0,,279754,-1,17345121
23,2457718,,,25993174,528,0,CITW,0,,"05","05",York South-Weston,York South-Weston (5),0,,279754,-1,17345137
24,2457717,,,25993173,528,0,CITW,0,,"14","14",Toronto-Danforth,Toronto-Danforth (14),0,,279754,-1,17345153
25,2457716,,,25993172,528,0,CITW,0,,"10","10",Spadina-Fort York,Spadina-Fort York (10),0,,279754,-1,17345169
